objectno	envelope	oldobjectno	objecttype	description	notes	dimensions	imagenotes	imagename	imagecomments	imageexists	imagetype	imagedesc
471	36	460	Sheng head	Sheng head, boy. Sheng boy, open cut; 3 black hair patches at temple, over both ears; red bound top knot and twin incised braids bound together at back; pale green shaved head. Small size.	Same as 1.459.	H: 3 ¼ x 1 ¾.		DSCN4673.JPG	469, 470, 471	YES		
472	36	461	Dan head	Dan head. Dan, open cut; simple hair knot, red tie at nape and at small knot, same style as 2 faced dan; small faded earring.	Bend at hair knot. Same as 1.462. See also 1.440, 1.442.	H: 2 ¼ x 2.		DSCN4674.JPG	472, 473	YES		
473	36	462	Dan head	Dan head. Dan, open cut; simple hair knot, red tie at nape and at small knot, same style as 2 faced dan; small faded earring.	Bend at hair knot. Same as 1.461. See also 1.440, 1.442.	H: 2 ¼ x 2.		DSCN4674.JPG	472, 473	YES		
474	36	463	Dan head	Dan head. Dan, open cut; upswept hair knot, blue two tone hair band ties at nape and extends back; small faded earring.	Same hair as 1.443. See 1.464.	H: 4 ½ x 2 ¾.		DSCN4675.JPG	474, 475, 476	YES		
475	36	464	Dan head	Dan head. Dan, open cut; upswept hair knot, green two tone hair band ties at nape and extends back; small faded earring.	Same hair as 1.443. See 1.463.	H: 4 ½ x 2 ¾.		DSCN4675.JPG	474, 475, 476	YES		
476	36	465	Dan head	Dan head. Dan, open cut; red pompom at ear; natural band or fur extends back over simple incised braid, red ties; small faded earring. 2 faded zi on neck.	Damage: breaks at eye and chin.	H: 4 ½ x 3 ¾.		DSCN4675.JPG|DSCN4676.JPG	474, 475, 476|476	YES|YES		
477	36	466	Dan head	Dan head. Dan, open cut; incised hair roundel above ear, red, green natural flower and pendant deco; hair ties at nape; hinges back; small faded earring. Small size.		H: 6 x 2.		DSCN4677.JPG	477, 478, 479	YES		
478	36	467	Dan head	Dan head. Dan, open cut; incised black hair or gauze style; incised hair roundel above ear, red, green flower and deco above; hair ties at nape; red circlet over black cloth extends back; small green earrring. Small size.	Damage: break at chin.	H: 3 x 2 ¼.		DSCN4677.JPG	477, 478, 479	YES		
479	36	468	Sheng head	Sheng head. Sheng, open cut; soft black incised hat, black topknot hangs at nape; blue green head band. Small size.		H: 2 x 2 ¼.		DSCN4677.JPG	477, 478, 479	YES		
480	36	469	Sheng head	Sheng head. Sheng. Scholar. Open cut face; red xiucai 秀才 hat, green, yellow decos, twin red tassels. Small size.	See 1.482.	H: 2 ¼ x 2 ½.		DSCN4678.JPG	480, 481, 482	YES		
481	36	470	Sheng head	Sheng head. Sheng. Open cut face. Black silk and natural tone caomao quan 草帽圈, surrounding hexagonal ying luomao 硬羅帽, black top knot; large red ear pompom, black ciguye 慈菇葉 martial arrow. Small size.	See 1.490 and others.	H: 2 ¾ x 2 ¼.		DSCN4678.JPG	480, 481, 482	YES		
482	36	471	Dan head	Jing female head. Blue green face, red hair, brow, and headband; flesh neck, small ear ring; incised hair, snakelike pony tail. Small size.	See 1.472, 1.473.	H: 3 ¾ x 2 ¼.		DSCN4678.JPG	480, 481, 482	YES		
483	36	472	Dan head	Jing female head. Blue green face, red hair, brow, and headband; natural neck, small ear ring; incised hair, small hair knot at back, blue green ties. Small size.	Same as, different colors 1.473. See 1.471.	H: 2 ¼ x 2 ¼.		DSCN4679.JPG	483, 484	YES		
484	36	473	Dan head	Jing female head. Red face, black hair, brow, and headband; natural neck, small ear ring; incised hair, small hair knot at back, red ties. Small size.	Same as, different colors 1.472. See 1.471.	H: 2 ¼ x 2 ¼.		DSCN4679.JPG	483, 484	YES		
485	36	474	Dan head	Dan head. Flesh face, blush, incised back hair roundel and yellow, red ornaments, flower deco at ear in red blue green; small rear ring. Small size.	Same as, different colors 1.475. See 1.476.	H: 2 x 2.		DSCN4680.JPG	485, 486, 487	YES		
486	36	475	Dan head	Dan head. Flesh face, blush, incised back hair roundel and yellow, red ornaments, flower deco at ear in blue green and red; small rear ring. Small size.	Same as, different colors 1.474. See 1.476.	H: 2 x 2.		DSCN4680.JPG	485, 486, 487	YES		
487	36	476	Dan head	Dan head. Flesh face, blush, incised back hair back extension and red tie, flower deco at ear in red blue green; small rear ring. Small size.	See 1.474, 1.475, 1.476.	H: 2 x 2 ¾.		DSCN4680.JPG	485, 486, 487	YES		
488	36	477	Jing head	Jing head. Jing, grey ground white, black, downward red lips; incised hair fringe and blue green, natural, red butterfly deco. Small size.		H: 2 ¼ x 1 ¾.		DSCN4681.JPG	488, 489, 490	YES		
489	36	478	Jing head	Jing head. Jing, grey ground white, black, downward red lips; incised natural diadem, ezi 額子, black pompom atop green red front emblem; incised front gauze extension; red pompom atop incised small back crown in red, green, natural atop blue deco; hanging back deco in red, green, natural. Small size.	See 1.479 and others.	H: 3 x 2 ½. Face height 1 ¼.		DSCN4681.JPG	488, 489, 490	YES		
490	36	479	Sheng head	Sheng head. Sheng, flesh face; incised natural crown, blue green pompom atop blue green red front emblem; incised front gauze extension; yellow pompom atop incised small back crown in blue green, yellow atop yellow deco; hanging back deco in yellow, blue green, red.		H: 3 x 2 ½. Face height 1 ¼.		DSCN4681.JPG	488, 489, 490	YES		
491	36	480	Sheng head	Sheng head. Sheng, flesh face; incised natural diadem, ezi 額子; black martial arrow; red pompom atop green red front emblem; red pompom atop incised small back crown in red, blue green, natural, twin pheasant feathers; twin natural fur back extensions.	See 1.481.	H: 4 x 2 ¾.		DSCN4682.JPG	491, 492, 493	YES		
492	36	481	Jing head	Jing head. Jing, red ground, black, white; incised natural diadem, ezi 額子; black martial arrow; red pompom atop blue green red front emblem; green pompom atop incised small back crown in blue green, natural, twin pheasant feathers; twin natural fur back extensions.	See 1.480.	H: 4 x 2 ¾.		DSCN4682.JPG	491, 492, 493	YES		
493	36	482	Chou head	Chou head. Chou, flesh face, eye patch, black rimmed red lip smile; pushed forward on head is green xiu cai 秀才 hat, green, yellow decos, twin red tassels.	See 1.469.	H: 2 ½ x 2 ¼.		DSCN4682.JPG	491, 492, 493	YES		
494	36	483	Jing head	Jing head. Jing, white, red forehead, nose, black, grey, downward red lips; black martial arrow; green circlet; twin natural lightning bolts atop blue xiu cai 秀才 hat, red, natural, pink decos, twin natural tassels.	Damage: broken lightning bolt, other one bent. See 1.469, 1.484 and others.	H: 3 x 2 ¼.		DSCN4683.JPG	494, 495, 496	YES		
495	36	484	Jing head	Jing head. Jing, blue green ground, red, white; downward red lips; black martial arrow; blue circlet; twin natural lightning bolts atop natural xiu cai 秀才 hat, red, pink, blue green decos, twin red tassels. Small size.	See 1.469, 1.483 and others.	H: 3 ¼ x 2 ¼.		DSCN4683.JPG	494, 495, 496	YES		
496	36	485	Jing head	Jing head. Jing, grey ground, black, white; downward red lips; black martial arrow; blue green circlet; twin natural lightning bolts atop black xiu cai 秀才 hat, red, pink, blue green decos, twin blue green tassels. Small size.	See 1.469, 1.483 and others.	H: 3 ¼ x 2 ¼.		DSCN4683.JPG	494, 495, 496	YES		
497	36	486	Chou head	Chou head. Chou, flesh face, triangle eye, stylized eye patch; black martial arrow; red pompom atop natural diadem, ezi 額子, green, red front emblem; blue cloth upswept hat, natural cross, red, green pompoms atop 7 sticks. Small size.		H: 4 x 2 ½.		DSCN4684.JPG	497, 498, 499, 500	YES		
498	36	487	Chou head	Chou head. Chou, grey pockmarked flesh face, fish eye; red, grey pockmarked scalp, tonsure; mazi tou 麻子頭; tiny rude braid, red tie, pointed straight back. Small size.	Damage: Break on scalp edge of braid. Still attached at one of two places. See 1.488 and others.	H: 2 x 2 ¼.		DSCN4684.JPG	497, 498, 499, 500	YES		
499	36	488	Chou head	Chou head. Chou, incised flesh face; grey scalp, tonsure; tiny rude braid, red ties, pointed straight up and forward; straw donut hat. Small size.	See 1.487 and others.	H: 3 x 2 ½.		DSCN4684.JPG	497, 498, 499, 500	YES		
500	36	489	Chou head	Chou head. Chou, incised flesh face and eye patch; red dot cheek; flesh tonsured scalp; tiny rude braid, red ties, pointed straight up through opening in red cloth kerchief extends back, ties under chin. Small size.	See 1.487 and others.	H: 3 ¼ x 2 ¼.		DSCN4684.JPG	497, 498, 499, 500	YES		
501	36	490	Sheng head	Sheng head. Sheng. Flesh face; caomao quan 草帽圈 of black silk, natural decos, black top knot, hexagonal top and wide natural brim, green trim; red ear pompom, black martial arrow. Small size.	See 1.470, 1.491.	H: 3 x 2 ½.		DSCN4685.JPG	501, 502, 503	YES		
502	36	491	Jing head	Jing head. Jing. Blue green ground, red, white, black; caomao quan 草帽圈 of black silk, natural decos, black top knot, hexa top and wide natural brim, blue trim; grey underside; red ear pompom, black martial arrow. Small size.	See 1.470, 1.490.	H: 3 x 2 ½.		DSCN4685.JPG	501, 502, 503	YES		
503	36	492	Chou head	Chou head. Chou. Wu. Officer. Cut flesh face, eye patch, triangle eye; black rimmed red smiling lips, teeth, tongue. Black ciguye 慈菇葉 martial arrow; red pompom at ear; dark green silk hexahedral hardform hat and top knot; yellow, natural, red decos.	See 504, 505 and others. Envelope #36. Old Object #492.	H: 3 ¼ x 2 ¾.		DSCN4685.JPG	501, 502, 503	YES		
504	36	493	Jing head	Jing head. Jing. Wu. Officer. Greenpainted face, red, white, black; red frowning lips. Black ciguye 慈菇葉 martial arrow; red pompom at ear; green silk incised hexa hard hat and top knot; natural trim, many small red pompoms.	See 502, 505 and others. Envelope #36. Old Object #493.	H: 3 ¼ x 2 ¾.		DSCN4686.JPG	504, 505, 506	YES		
505	36	494	Jing head	Jing head. Jing. Wu. Officer. Grey painted face, black, white; red frowning lips. Black ciguye 慈菇葉 martial arrow; red pompom at ear; black silk incised hexa hard hat and top knot; natural trim, many small red and green pompoms.	See 502, 504 and others. Envelope #36. Old Object #494.	H: 3 ¼ x 2 ¾.		DSCN4686.JPG	504, 505, 506	YES		
506	36	495	Sheng head	Sheng head. Sheng. Wu. White painted face, pink blush. Black, filigree wang mao 王帽. Two large red pompoms; black ciguye 慈菇葉 bravery symbol; cut central emblem; back tassel.		H: 3 ¼ x 2 ½.		DSCN4686.JPG	504, 505, 506	YES		
507	36	496	Jing head	Jing head. Jing, soldier; black and white aboriginal stripes; red frowning lips; fierce eye; black ciguye 慈菇葉 martial arrow, natural circlet; natural cloth fan decos around simple knot of hair, natural tie. Small size.	See 1.495 and others.	H: 2 ¾ x 2.		DSCN4687.JPG	507, 508, 509	YES		
508	36	497	Jing head	Jing head. Jing, soldier; grey ground, black, white; black rimmed red frowning lips; black ciguye 慈菇葉 martial arrow, green circlet; simple knot of hair, red ties. Small size.	See 1.495 and others.	H: 2 ½ x 2.		DSCN4687.JPG	507, 508, 509	YES		
509	36	498	Jing head	Jing head. Jing, soldier; red ground, black, white; black rimmed red frowning lips; black ciguye 慈菇葉 martial arrow, green circlet; simple knot of hair, red ties. Small size.	See 1.495 and others.	H: 2 ¼ x 2.		DSCN4687.JPG	507, 508, 509	YES		
510	36	499	Chou head	Chou head. Chou, soldier; incised flesh face; eye patch, triangle eye; black rimmed red smiling lips; green circlet; simple knot of hair, red ties. Small size.	See 1.495 and others.	H: 2 ¼ x 1 ¾.		DSCN4688.JPG	510, 511, 512	YES		
511	36	500	Sheng head	Sheng head. Sheng soldier; incised flesh face; green circlet; simple knot of hair, red ties. Small size.	See 1.495 and others.	H: 1 ¾ x 1 ¾.		DSCN4688.JPG	510, 511, 512	YES		
512	36	501	Jing head	Jing head. Wu Tong Jing. 武童淨. Military soldier head. Painted face, incised grey ground, black, white highlights; red frowning lips; black ciguye 慈菇葉 martial arrow; blue circlet; ruan luomao 軟羅帽 soft black cloth hat slouches back. Small size.		H: 2 ½ x 2 ¼.		DSCN4688.JPG	510, 511, 512	YES		
513	32	1.502b	Male body	Bodyguard body. Natural close sleeve tunic, pale blue green flower and stem pattern, matching pants tuck into black boots, white butterfly deco, blue, green trim; fists; natural front tie waist sash, back extension cloth. 3 rods.	See Simon p 82, aoku ,襖褲 ex 57. Envelope #32. Old Object #1.502b.	H: 8 ½ x 5 ¾; neck rod 12 ¾; hand rods 10.		DSCN3052.JPG	513	YES		
514	32	1.503b	Male body	Warrior body. Black close sleeve tunic, front buttons and up both sleeves; natural cross chest tie; grey pants tuck into black boots, blue trim; fists; natural front tie waist sash, green pleated back extension cloth. 3 rods.	See Simon p 86, kuaiyi 快衣 ex 88. Damage: break on front tie. Envelope #32. Old Object #1.503b.	H: 8 ¼ x 5 ¾; neck rod 12; hand rods 9 ½.		DSCN3053.JPG	514	YES		
515	35	1.504b	Male body	Hero, male body. Natural wide sleeve robe, incised bamboo pattern black leaves, grey stems, red lining; block hands; yellow front tie waist sash; incised butterfly pattern on shin of black boots, incised fish uppers. 3 rods.	"See 448. Damage: one sleeve warped. Pencil note: ""紅綠百黑踢氅"". Corresponds to Ch. Cat. 2a 9下: ""紅綠百黑各色踢氅 快靴 四件"". Red pencil on card may read: 武生. See Simon pp 77, 78 yingxiong chang 英雄氅 ex 20."	H: 8 ¼ x 5 ½; neck rod 12 ½, hand rods 10.		DSCN3048.JPG	448, 515	YES		
516	35	1.505b	Male body	Warrior body. Yellow close sleeve tunic, front buttons and up both sleeves; fists; red pants tuck into black boots, blue green edging; tiger skin waist cloth; blue green front tie waist sash. 3 rods.	See 1.506b and others	H: 8 ½ x 5 ½; neck rod 12, hand rods 9 ½.		DSCN3054.JPG	516, 517	YES		
517	35	1.506b	Male body	Warrior body. Black close sleeve tunic; fists; red pants tuck into black platform boots; white tiger skin waist cloth and shoulder cloth; blue front tie waist sash; white front chest cross tie. 3 rods.	See 1.505b and others	H: 8 ½ x 5 ¼  neck rod 12, hand rods 10, 10 ¾.		DSCN3054.JPG	516, 517	YES		
518	29	1.507	Property	Heavenly Officials Bestow Fortune, property. Tian guan Ci Fu. See image descriptions for details.				DSCN4365.JPG|DSCN4366.JPG|DSCN4367.JPG|DSCN4368.JPG|DSCN4369.JPG|DSCN4370.JPG|DSCN4371.JPG|DSCN4372.JPG	518|518|518|518|518|518|518|518	YES|YES|YES|YES|YES|YES|YES|YES	Property of Heavenly officials bestow fortune|Property of Heavenly officials bestow fortune|Property of Heavenly officials bestow fortune|Property of God of fortune|Property of Heavenly officials bestow fortune|Property of Blessing with Bat|Property of Could Officials (Left)|Property of Could Officials (Right)	Image of entire object|Image of 'cloud framed title board' hanging from cardboard rectangle.|Image of detail of 'cloud framed title board'. Tian guan Ci Fu. Hanging by strings from a 4 ½ x 11 ¾ oil stained cardboard. Black incised characters on yellow banner surrounded by red, grey black, green symmetrical cloud puffs; large red pearl ? at top center; red ruyi mushroom cloud center bottom. Looks like piece was folded in half to cut symmetrically.|Image showing Tian Guan, the Heavenly Official and attendants. This piece hangs from and is directly below the 'cloud frame'. Central figure in red robe, dark green jade belt; black gauze hard hat, twin red ribbons each side; holds incised yellow horizontal scroll, black ends; incised flesh face, open eyes forward looking; three part moustache, beard and side beards; black shoes. Ya tou open face attendants each side hold with incised fists long red handled fans in white, red, black up to his head; dark green close sleeve tunics over red loose trousers; tiger skin waist cloths; black front tie waist ribbon; black shoes. Same except faces; youth with hair fringe, larger mouth and brow companion. Surrounded by red, grey black, green symmetrical cloud puffs. Hangs from heads of two attendants to clouds on lower extremes. Folded half as above.|Image showing the 7 parts which hang from the Tian Guan piece|Image showing detail of central piece with bat and ingot with callig message inbetween. Red stylized down facing bat, black, blue grey wing and body decos; three whiskers each side attach it to boldly carved black combination character. Huang yellow, guang ? dong ? east, jin gold, wan ten thousand. Attached to large boat shaped gold ingot. Hangs from 3 inch strings from center bottom of 1.507.2.|Image showing detail of 3 individual pieces hanging to Left side of ingot (also shown). Top: Hangs under youth attendant, proper right. Profile open face, hair fringe front, red pompom atop emblem on small crown in red, blue green, white; incised hands hold up natural tablet, blue, red top. Blue green robe, loose red sash, grey cloud. Middle: Hangs under youth attendant, proper right. Profile open face, 3 part beard and stachios; black gauze hat, red ribbons; incised hands hold up natural tablet, blue, red top. Blue robe, loose red sash, grey cloud. Bottom: Hangs under youth attendant, proper right. Profile open face; black gauze hat, red ribbons; incised hands hold up natural tablet, blue, red top. Light blue robe, loose red sash, grey cloud.|Image showing detail of 3 individual pieces hanging to Right side of ingot (partial view of ingot also shown). Top: Hangs under older attendant, proper left. Profile open face; black gauze hat with extensions, red ribbons; incised hands hold up natural tablet, blue, red top. Light red robe, loose blue black sash, grey cloud. Middle: Hangs under older attendant, proper left. Profile open face, full black beard; black gauze hat, red ribbons; incised hands hold up natural tablet, blue, red top. Red robe, loose blue black sash, grey cloud. Bottom: Hangs under older attendant, proper left. Profile grey face, full black beard; black gauze hat, red ribbons; incised hands hold up natural tablet, blue, red top. Grey black robe, loose red sash, grey cloud.
